hc_date,day,PCA_1,PCA_2
2021-03-01 14:00:00+01:00,01/03/2021,0.5130414674281453,-2.3230026962032593
2021-03-01 15:00:00+01:00,01/03/2021,-0.5657417349811833,-2.078139283786097
2021-03-01 16:00:00+01:00,01/03/2021,-0.8306860286475852,-2.6601790703789456
2021-03-01 17:00:00+01:00,01/03/2021,-0.761695786906752,-2.509341846479264
2021-03-01 18:00:00+01:00,01/03/2021,-0.7343126919791728,-3.288980181310134
2021-03-01 19:00:00+01:00,01/03/2021,-0.9458925568468605,-3.4540358976301215
2021-03-01 20:00:00+01:00,01/03/2021,-0.6902674388699211,-2.9179597949669938
2021-03-01 21:00:00+01:00,01/03/2021,-0.7341412812858196,-2.969400490775007
2021-03-01 22:00:00+01:00,01/03/2021,-0.6838424607872098,-3.0579515545115585
2021-03-01 23:00:00+01:00,01/03/2021,-0.7887120719642553,-2.854621344546168
2021-03-02 00:00:00+01:00,02/03/2021,-0.7478932658648115,-3.3430171215533058
2021-03-02 01:00:00+01:00,02/03/2021,-0.7901884303280282,-3.053868627730589
2021-03-02 02:00:00+01:00,02/03/2021,0.39647311217140035,-3.0619792288560834
2021-03-02 03:00:00+01:00,02/03/2021,0.6982453678215347,-3.825467387260581
2021-03-02 04:00:00+01:00,02/03/2021,3.265138183467694,-3.4173039147895414
2021-03-02 05:00:00+01:00,02/03/2021,3.8210835747388647,-3.9260631155520493
2021-03-02 06:00:00+01:00,02/03/2021,4.436871683122008,-3.3767155505322615
2021-03-02 07:00:00+01:00,02/03/2021,3.9833972241294786,-3.116139217038286
2021-03-02 08:00:00+01:00,02/03/2021,4.893959679080698,-3.25763548021166
2021-03-02 09:00:00+01:00,02/03/2021,3.478843460270717,-2.9077018964294807
2021-03-02 10:00:00+01:00,02/03/2021,4.272164660095392,-3.1134381594745912
2021-03-02 11:00:00+01:00,02/03/2021,4.145262361727482,-3.118242194510202
2021-03-02 12:00:00+01:00,02/03/2021,3.939325368318432,-3.0208960046694058
2021-03-02 13:00:00+01:00,02/03/2021,1.7701727472592728,-2.5406914691889413
2021-03-02 14:00:00+01:00,02/03/2021,0.8020604139512802,-2.4407813175755115
2021-03-02 15:00:00+01:00,02/03/2021,-0.6851595019103406,-2.5576126602928873
2021-03-02 16:00:00+01:00,02/03/2021,-1.3620474480705862,-2.5842278799027745
2021-03-02 17:00:00+01:00,02/03/2021,-1.261715335251834,-2.4056411923726593
2021-03-02 18:00:00+01:00,02/03/2021,-1.2219365637012993,-3.201931592872737
2021-03-02 19:00:00+01:00,02/03/2021,-1.4438419156080102,-3.0125276614328427
2021-03-02 20:00:00+01:00,02/03/2021,-1.2340145225351895,-2.821618737895084
2021-03-02 21:00:00+01:00,02/03/2021,-1.2850501468267392,-2.6981215750388357
2021-03-02 22:00:00+01:00,02/03/2021,-1.169975200005271,-3.189817167833766
2021-03-02 23:00:00+01:00,02/03/2021,-1.2894705240533857,-3.3171741780004953
